"WID","login_count","level","playcount_sum","playtime_sum","recent_date","mode"
W14288,2149,58,2370,1604545,2023-05-06,3
W14344,395,47,22,14116,2023-06-20,1
W14344,395,47,9,4055,2023-05-18,4
W14344,395,47,469,301666,2023-06-30,3
W14344,395,47,236,71964,2023-06-30,5
W14352,1311,49,10,13060,2023-04-24,4
W14352,1311,49,720,359381,2023-06-27,3
W14352,1311,49,140,52996,2023-06-29,5
W14352,1311,49,419,183101,2023-06-26,1
W14364,1531,65,301,225951,2023-01-16,4
W14364,1531,65,3501,1986323,2023-03-25,3
W14364,1531,65,29,18004,2022-10-19,1
W14364,1531,65,508,215539,2023-03-03,5
W14385,1004,51,4,3764,2022-05-19,4
W14385,1004,51,1275,733036,2023-06-18,3
W14385,1004,51,50,14537,2023-06-16,5
W14385,1004,51,1,226,2023-01-27,1
W14424,1005,50,92,25228,2023-06-07,5
W14424,1005,50,5,5413,2022-06-16,4
W14424,1005,50,780,395503,2023-06-14,3
W14424,1005,50,5,3417,2023-05-22,1
W14530,2069,56,18,16675,2023-02-19,4
W14530,2069,56,964,741963,2023-06-29,3
W14530,2069,56,47,15127,2023-03-22,5
W14530,2069,56,5,1120,2023-03-21,1
W14541,410,49,6,5485,2022-05-30,4
W14541,410,49,5,3257,2022-08-05,1
W14541,410,49,514,476484,2022-11-01,3
W14541,410,49,85,29788,2022-10-28,5
W14577,2976,51,154,111956,2023-06-28,4
W14577,2976,51,608,205194,2023-06-30,5
W14577,2976,51,897,526506,2023-06-30,3
W14577,2976,51,79,28391,2023-05-15,1
W14598,1071,52,360,449824,2023-06-30,4
W14598,1071,52,57,38532,2022-10-17,3
W14598,1071,52,87,89899,2022-10-19,1
W14691,2348,58,89,37000,2023-06-23,1
W14691,2348,58,12,8292,2023-06-21,4
W14691,2348,58,423,147264,2023-06-21,5
W14691,2348,58,2932,1057073,2023-06-28,3
W14692,494,52,742,711986,2023-01-29,4
W14692,494,52,34,26620,2023-06-29,3
W14787,1986,61,36,36923,2023-04-02,4
W14787,1986,61,1511,1707112,2023-06-14,3
W14787,1986,61,93,35037,2023-04-10,5
W14787,1986,61,17,10079,2023-06-14,1
W14824,1420,52,1399,722505,2023-06-30,3
W14824,1420,52,5,3628,2023-06-18,4
W14824,1420,52,659,203430,2023-06-30,5
W14824,1420,52,604,233033,2023-06-30,1
W14832,2404,54,52,49907,2022-12-30,4
W14832,2404,54,1053,334900,2023-06-02,5
W14832,2404,54,1071,689757,2023-06-02,3
W14832,2404,54,239,79696,2023-05-28,1
W14900,1308,50,41,35408,2023-03-11,4
W14900,1308,50,772,267414,2023-05-19,5
W14900,1308,50,730,382356,2023-06-30,3
W14900,1308,50,178,71869,2023-05-20,1
W14914,1009,51,24,14824,2022-09-20,4
W14914,1009,51,686,208877,2022-09-30,5
W14914,1009,51,956,593484,2022-10-09,3
W14914,1009,51,82,27951,2022-09-20,1
W14946,4011,56,26,18063,2023-05-18,4
W14946,4011,56,869,283767,2023-06-26,5
W14946,4011,56,1723,899325,2023-06-30,3
W14946,4011,56,55,22139,2023-06-28,1
W14966,1476,50,61,43034,2023-05-24,4
W14966,1476,50,1079,496413,2023-06-14,3
W14966,1476,50,529,220552,2023-06-15,5
